before,dragon_rider,after,length,color
BPPPPP,BBBBBBBPBBBBBBB,PPBPPB,14,B
BBBPPB,PPPPPBBPPPPP,BBPBBP,10,P
BPPBPP,BBBBBPBBBBB,PPBPPP,10,B
BBBPPB,PPPPPBBPPPPP,BPPBPB,10,P
BBPBPP,BBBBBBBPBBBBBBB,PBBPPB,14,B
BBBPPP,BBBBBBBPBBBBB,PBBBBP,12,B
BBBBBB,PPPPPPPBBBPPPPP,BBBBPP,12,P
BPBBPP,BBBBBPBBBBB,PPBBBP,10,B
PPBPPP,BBBBBPBBBBB,PPBBPB,10,B
BBBPBP,BBBBBPPPBBBBB,PPBPPP,10,B
BPPPPP,BBBBBPPBBBBBB,PPPBPB,11,B
PBBPPP,BBBBBBBPPBBBBB,PPBPPP,12,B
BPBBBB,PPPPPPPPPPPBBPPPPPPP,BBBBBB,18,P
BBPBPP,BBBBBPPBBBBB,PBBBBB,10,B
BPPBBB,PPPPPPPBBPPPPP,BPBPPB,12,P
PBBBPB,PPPPPBBBPPPPP,BBBPBP,10,P
PPBBPB,PPPPPBBPPPPP,BBBBBB,10,P
PPPBBP,BBBBBPBBBBBBB,PPBBPP,12,B
BPPBPB,PPPPPBBBPPPPP,BBPPBP,10,P
PPBBBP,BBBBBPBBBBBBBB,PPPPBB,13,B
PBBPBP,BBBBBPBBBBB,PBBPBP,10,B
PBPPPB,PPPPPBPPPPP,BPPPBP,10,P
BPBPBP,BBBBBPBBBBB,PPPBBB,10,B
PBBBBB,PPPPPBPPPPPPPPP,BBBPPP,14,P
PPPPPP,BBBBBPBBBBBBBB,PBPPPP,13,B
PBPPBB,PPPPPBBBPPPPPP,BPPPBB,11,P
BBPPBB,PPPPPPBPPPPP,BPPPPB,11,P
PBBBBB,PPPPPBBBPPPPPP,BBBBBB,11,P
PBBBPP,BBBBBPBBBBB,PBBBBP,10,B
PBBPBP,BBBBBBBBPPPBBBBBB,PPBBBB,14,B
PBPBBP,BBBBBPPBBBBBBB,PBBPBP,12,B
BPBPPP,BBBBBPPPBBBBBB,PBPPPP,11,B
BPBBPP,BBBBBPPBBBBBB,PBPBPB,11,B
PPPBPB,PPPPPBPPPPP,BPPBPB,10,P
PBPBBB,PPPPPPBPPPPPP,BPPBBP,12,P
PBBBPP,BBBBBBPBBBBBBB,PPBBPB,13,B
BPBPPB,PPPPPPBBPPPPP,BPPPPB,11,P
PBPPBP,BBBBBPBBBBB,PPBPPB,10,B
PBBBBB,PPPPPPBPPPPP,BPPPBP,11,P
PPBBPP,BBBBBPBBBBB,PPPBPB,10,B
BPPBBP,BBBBBBBBBPBBBBBB,PBPPPB,15,B
BBBPBP,BBBBBBBPBBBBB,PPBPBB,12,B
BBPPBB,PPPPPPPPBBPPPPPPPP,BBPPBP,16,P
BPBPBP,BBBBBPPBBBBBB,PPPBPB,11,B
PPPPPP,BBBBBBBBPBBBBBBBBB,PPBPPB,17,B
PPBPPP,BBBBBPBBBBBB,PPBBBP,11,B
BPBPBB,PPPPPBBBPPPPP,BBPPBP,10,P
BBBBBB,PPPPPPBBBPPPPPP,BPBBBP,12,P
BBPBPB,PPPPPPPBBPPPPP,BBPPPB,12,P
BPPPBP,BBBBBPBBBBB,PBPBPP,10,B
BPBBBP,BBBBBPPPBBBBB,PBBBBP,10,B
BPPPBB,PPPPPBPPPPP,BPBBPP,10,P
BBPBPB,PPPPPBPPPPPP,BBPBBP,11,P
PPPBPP,BBBBBBBPBBBBB,PPBPPB,12,B
PBBPBB,PPPPPBPPPPPP,BPBPPB,11,P
PBBBBB,PPPPPPBPPPPP,BPBPBP,11,P
BPPPPP,BBBBBPBBBBB,PBPPBP,10,B
PBPPPB,PPPPPBBPPPPP,BPPPPP,10,P
PPBBBB,PPPPPPPPBBPPPPPPPP,BBBBBB,16,P
PPBPPB,PPPPPPPBPPPPP,BPBBPB,12,P
BPBBPB,PPPPPBPPPPPPP,BPPBPB,12,P
PBBBPB,PPPPPBBPPPPPPPPPP,BBBBPP,15,P
PPBBPP,BBBBBBBPPPBBBBB,PBBPPP,12,B
PPBBPP,BBBBBBPBBBBB,PPPPBP,11,B
PBPPBP,BBBBBBBPPBBBBB,PBPPBB,12,B
PBPBBP,BBBBBPPBBBBBB,PBBBBP,11,B
PBPPBB,PPPPPBBBPPPPP,BPBPBB,10,P
PPBBBP,BBBBBBBPPBBBBB,PPBBBP,12,B
BBPBBB,PPPPPPPBPPPPP,BBPPBP,12,P
BPBPPP,BBBBBPPPBBBBBBBB,PBBPPP,13,B
PPBPPB,PPPPPBPPPPP,BPBPBB,10,P
BBBBBB,PPPPPBPPPPP,BPBBBP,10,P
BPPPPB,PPPPPPBBPPPPPP,BPBBBB,12,P
PBBPPB,PPPPPBPPPPP,BBPPBP,10,P
PPBPBB,PPPPPPPBBPPPPP,BPPBPP,12,P
PPBPPB,PPPPPPPPBPPPPPP,BBBPBB,14,P
BPPPBB,PPPPPBPPPPPP,BBPBPP,11,P
BPPBPP,BBBBBBPBBBBBBBB,PBPPPP,14,B
BBBPBB,PPPPPBPPPPP,BBPPPP,10,P
PPPBPP,BBBBBPPBBBBBB,PPBBBP,11,B
BPPBPP,BBBBBBPPBBBBB,PPBPBB,11,B
PPBBPB,PPPPPPBPPPPPP,BPBPPP,12,P
PBPPPB,PPPPPBBPPPPP,BPBBBP,10,P
BPBPBB,PPPPPPBBPPPPP,BPPBPB,11,P
BPBBBB,PPPPPBBBPPPPPPPPP,BBPBPP,14,P
