Before,During,After
BBP,BBB,PBP
BBB,PPP,BBP
BBP,BBB,PBB
BBB,PPP,BPB
P,BBB,PBP
PBP,BBB,PBP
PPP,BBB,PBB
BBP,BBB,PBB
PBP,BBB,PBP
BP,BBB,PPB
BPB,PPP,BBP
PPB,PPP,BPB
PPB,PPP,BPB
BBP,BBB,PBB
BBP,BBB,PBB
BBP,BBB,PBP
BPB,PPP,BPB
BBP,BBB,PPB
BBP,BBB,PBB
PBP,BBB,PPB
PBP,BBB,PBB
PBP,BBB,PBB
PPB,PPP,BPB
BBP,BBBPPP,PBP
B,PPPBBB,BPP
BBB,PPPBBB,BPP
BBB,PPPBBB,BPP
PPP,BBB,PBP
BPB,PPP,BPB
BPB,PPPBBB,BBP
PBP,BBB,PPB
BBB,PPPBBB,BBP
,PPPBBB,PPB
PPB,PPPBBB,PPB
PPB,PPPBBB,PBP
,PPP,BPP
PPP,BBB,PBB
,BBB,PBB
PBP,BBB,PPB
PBP,BBB,PPB
B,PPP,BPB
PBP,BBBPPPPPPBBB,BPB
BPB,PPP,BBP
PBP,BBB,PBP
BBP,BBB,PBP
BBB,PPP,BPB
PBP,BBB,PPB
BBB,PPPBBB,PBP
PBP,BBB,PBP
BPB,PPP,BBP
PBP,BBB,PBP
PBP,BBB,PBP
BPB,PPP,BPP
PPB,PPPBBB,BBP
BBP,BBBPPPBBBBBB,PPB
PPP,BBB,PPB
PPB,PPPBBB,
PBP,BBB,PPB
BBP,BBB,PBB
PPP,BBBPPP,BPP
PPB,PPP,BBP
PPB,PPP,BBP
PPP,BBB,PBP
BBP,BBBPPP,BPB
BPB,PPPBBBBBB,BBP
PBP,BBB,PBP
BBP,BBB,PPB
PBP,BBB,PPB
PPB,PPPBBBPPPPPP,BPB
,PPP,BPP
PPP,BBBPPP,PB
,PPPBBBBBB,PBP
PBP,BBB,PPB
BPB,PPP,BPP
PPB,PPPBBB,BPB
P,BBB,PBP
BPB,PPP,BBP
BBP,BBB,PBB
BPB,PPP,BPB
BPB,PPP,BBP
PBP,BBBPPP,PPB
BBP,BBB,PBP
BBP,BBBPPP,PBB
BBB,PPP,BPB
BBP,BBBPPP,BBP
BPB,PPP,BBP
BBP,BBB,PBB
