before,chai_khrong,after,type,length
PPPPBB,BPBPBPBPB,BPBPBB,ชายโครงแท้,9
BPBBBP,PBPBPB,BPPPPB,ชายโครงแท้,6
PPPPBB,BPBPBPBPB,BPBPBB,ชายโครงแท้,9
BPBPPB,BPBPBPBP,PBPPPP,ชายโครงแท้,8
BPBPPB,BPBPBPBP,PBPPPP,ชายโครงแท้,8
PBBPBB,BPBPBPB,BPBBBB,ชายโครงแท้,7
BBPBPP,PBPBPB,BPBBBB,ชายโครงแท้,6
BPPBPB,BPBPBP,PBPPPB,ชายโครงแท้,6
BBBPBP,PBPBPBPB,BPPBBP,ชายโครงแท้,8
BBBB,BPBPBPBP,PPPBPP,ชายโครงแท้,8
PPBPPB,BPBPBP,PBPBBP,ชายโครงแท้,6
PPPBBB,BPBPBP,PPBPPP,ชายโครงแท้,6
BBPPBP,PBPBPBP,PPBPPP,ชายโครงแท้,7
PPPBPP,PBPBPB,BPBBPB,ชายโครงแท้,6
BPPBBB,BPBPBPBPB,BBPPBP,ชายโครงแท้,9
BBPPPP,PBPBPBP,PBBBPB,ชายโครงแท้,7
,BPBPBP,PPPBBP,ชายโครงแท้,6
PPBPPP,PBPBPBP,PPPPBB,ชายโครงแท้,7
BBPBPP,PBPBPB,,ชายโครงแท้,6
BPPBBP,PBPBPBPBPB,BBBPPB,ชายโครงแท้,10
BBBPPP,PBPBPB,BBBPBP,ชายโครงแท้,6
BPBPPB,BPBPBP,PBBPPP,ชายโครงแท้,6
BB,BPBPBP,PBPBPB,ชายโครงแท้,6
BPBPBP,PBPBPBPBPB,BPBPPB,ชายโครงแท้,10
PPBPBP,PBPBPB,BPBB,ชายโครงแท้,6
PBBPPB,BPBPBP,PPBPBP,ชายโครงแท้,6
PBBPPB,BPBPBPB,BBPBBP,ชายโครงแท้,7
PPPBBP,PBPBPB,BPBBBB,ชายโครงแท้,6
PPPPPB,BPBPBPB,BBBBBB,ชายโครงแท้,7
BPPPP,PBPBPB,BBPPPP,ชายโครงแท้,6
PBBBPB,BPBPBP,PPPBBP,ชายโครงแท้,6
B,BPBPBP,PBPBPB,ชายโครงแท้,6
BPBPBP,PBPBPBP,PBPBPP,ชายโครงแท้,7
BPBBPB,BPBPBPB,BPPBPB,ชายโครงแท้,7
PPBB,BPBPBPBPB,BBBPPP,ชายโครงแท้,9
BPBBPP,PBPBPB,BPPPPP,ชายโครงแท้,6
B,BPBPBP,PBPBPB,ชายโครงแท้,6
BPBPBP,PBPBPB,BBPPPB,ชายโครงแท้,6
PPPBBP,PBPBPBP,PBBPPP,ชายโครงแท้,7
B,BPBPBP,PPBPBP,ชายโครงแท้,6
PBBBPB,BPBPBPBP,PPBPPB,ชายโครงแท้,8
PBPBBP,PBPBPB,BBPPBP,ชายโครงแท้,6
PPPPPB,BPBPBP,PBPPPB,ชายโครงแท้,6
,BPBPBP,PPBBBB,ชายโครงแท้,6
PBBBPP,PBPBPB,BPBBPP,ชายโครงแท้,6
PPPPPP,PBPBPBPB,BPBPPP,ชายโครงแท้,8
PPBPPP,PBPBPB,BPBPBP,ชายโครงแท้,6
PBPBPB,BPBPBP,PBPBPP,ชายโครงแท้,6
PPBBBP,PBPBPBP,PP,ชายโครงแท้,7
PPBBBP,PBPBPBP,PP,ชายโครงแท้,7
BPBBPP,PBPBPBPB,,ชายโครงแท้,8
BBBPPB,BPBPBPBPB,BPBPPB,ชายโครงแท้,9
PPBBBP,PBPBPBP,PPBPPP,ชายโครงแท้,7
PBPPPP,PBPBPB,BBBPPP,ชายโครงแท้,6
PBPPPP,PBPBPB,BBBPPP,ชายโครงแท้,6
BBBPP,PBPBPBPB,BBBPBB,ชายโครงแท้,8
PPBPPB,BPBPBP,PPBPP,ชายโครงแท้,6
PBPBB,BPBPBP,PPPBBP,ชายโครงแท้,6
BBBPBP,PBPBPB,BPBBPB,ชายโครงแท้,6
BBPPBB,BPBPBPB,BBPPBP,ชายโครงแท้,7
PPBPPP,PBPBPBP,PBBBBP,ชายโครงแท้,7
BBPPBB,BPBPBPBPB,,ชายโครงแท้,9
PBBPBP,PBPBPBPB,BBPBPP,ชายโครงแท้,8
PBBPBP,PBPBPBPB,BBPBPP,ชายโครงแท้,8
BBBPPP,PBPBPB,BPPPPB,ชายโครงแท้,6
BBPBBB,BPBPBP,PPPBBB,ชายโครงแท้,6
BBPBBB,BPBPBP,PPPBBB,ชายโครงแท้,6
PPBBPB,BPBPBP,PPBPPB,ชายโครงแท้,6
PPBBBB,BPBPBPBP,PPBPBB,ชายโครงแท้,8
PPBBPB,BPBPBP,PPBPPB,ชายโครงแท้,6
BPPPBB,BPBPBP,PBPBPP,ชายโครงแท้,6
BPBPPP,PBPBPBP,PPPBBB,ชายโครงแท้,7
PPPPPP,PBPBPB,BB,ชายโครงแท้,6
PPPPPP,PBPBPB,BB,ชายโครงแท้,6
BBPPBB,BPBPBPB,BBPPBP,ชายโครงแท้,7
BBBPBB,BPBPBPB,BBBBPP,ชายโครงแท้,7
PBBPPB,BPBPBP,PBPPPB,ชายโครงแท้,6
PBBPPB,BPBPBP,PBPPPB,ชายโครงแท้,6
PPBPPB,BPBPBP,PBBBBB,ชายโครงแท้,6
PPPPBB,BPBPBP,PBBBPP,ชายโครงแท้,6
