before,pingpong_tie,after,length,tie_position
BPBPBB,BPBPT,BBBBPB,5,16
PBBPPB,BPBPT,TBBTPB,5,43
BPBBBB,BPBPT,PPPTBP,5,12
BPBPPP,BPBPT,PBPBTT,5,11
PBPBPT,PBPBT,TTTBPP,5,16
PBPPPB,PBPBT,BPBPPB,5,26
BBBPBP,BPBPT,PBPBPP,5,46
PPTPTP,BPBPT,BBPBPB,5,46
BPTBBT,PBPBT,TPPBBB,5,36
BPBPPB,BPBPT,BPTPBB,5,13
PPTPBT,PBPBT,BPBPBP,5,49
BBBBBB,BPBPT,PPBBBT,5,18
PPPPBT,BPBPT,BBPBBP,5,56
PPPBPP,BPBPT,PPPPPP,5,56
BBPTBP,PBPBT,PTTBBB,5,17
PPPPPB,BPBPT,BPBPPP,5,55
PPBPPT,PBPBT,BPTTPB,5,51
BBBTPT,TPTPT,PPBBBB,5,44
BPPPPB,BPBPT,BTPBBP,5,47
BPBTBB,BPBPT,PTPBTB,5,19
PPBBBB,BPBPT,BPPBPP,5,51
BBTPBP,BPBPT,PTPPBP,5,21
BPTPTP,PBPBT,BBBBPB,5,29
TPPBBB,PBPBT,BPPBPP,5,25
PPBBBP,PBPBT,PBBPBB,5,51
PBBPBB,BPBPT,PBBPBB,5,31
TPPPBB,BPBPT,BBPBBP,5,23
PPBPBP,PBPBT,TBBBPT,5,17
PPTBBT,PBPBT,PPBPPB,5,51
BBBPPP,BPBPT,BBPTPB,5,32
PPBTTT,BPBPT,BPPPTT,5,57
BBPPPP,BPBPT,PPBTBB,5,44
PPTPPP,BPBPT,BPBBPT,5,20
PTBBPB,PBPBT,BBPPPB,5,35
PBPPTB,PBPBT,BPBPPB,5,65
PPPPPB,PBPBT,BPPBTP,5,30
BPBBBP,BPBPT,BTBBPB,5,12
TBBPBP,PBPBT,BPBBPB,5,24
BTBPBB,PBPBT,BPTPPP,5,33
BPBPBP,BPBPT,BTPBPP,5,43
PPPBBP,BPBPT,PTPPBB,5,57
BPPBPB,PBPBT,BTPBBB,5,20
PPPBPB,PBPBT,BTPPBP,5,10
BBBPTP,BPBPT,PBPBPP,5,37
BPBPPP,BPBPT,PPBBPB,5,49
TBBPTP,PBPBT,BPTPPB,5,44
BBBTPP,BPBPT,BBPTPP,5,30
PBBTBB,BPBPT,BPTBTP,5,17
BBBBPP,PBPBT,PPBBBT,5,23
BBBPBP,PBPBT,PTBPPP,5,22
PPPBTP,PBPBT,PTTBBB,5,35
PBBBBB,PBPBT,BBPPTT,5,59
PBBBTP,BPBPT,PBPPBP,5,35
BBPBPB,PBPBT,PBBTBT,5,48
PPPBPP,BPBPT,BPBBPT,5,10
BPBPBB,PBPBT,TPPPBB,5,17
