Game_ID,Before,Pattern,After,Full_Sequence
Game_89,BPBPP,BBB,PPBBB,BPBPPBBBPPBBB
Game_89,PBBBP,BBBB,PBBPP,PBBBPBBBBPBBPP
Game_89,PBPPB,PPP,BPBPB,PBPPBPPPBPBPB
Game_90,BBPBP,BBBB,PBPPP,BBPBPBBBBPBPPP
Game_90,BBBPB,PPP,BBPBB,BBBPBPPPBBPBB
Game_90,BBPBB,PPPP,BBPBB,BBPBBPPPPBBPBB
Game_90,BBBBB,PPP,BPPBB,BBBBBPPPBPPBB
Game_92,PPPBP,BBBB,PBBBB,PPPBPBBBBPBBBB
Game_92,BBBBP,BBBB,PBPB,BBBBPBBBBPBPB
Game_93,PBPBP,BBB,PPPBB,PBPBPBBBPPPBB
Game_93,BPBBB,PPP,BBBBP,BPBBBPPPBBBBP
Game_93,BBPPP,BBBB,PBBBB,BBPPPBBBBPBBBB
Game_93,BBBBP,BBBB,PPPBP,BBBBPBBBBPPPBP
Game_93,PBBBB,PPP,BPPPB,PBBBBPPPBPPPB
Game_93,BPPPB,PPP,BPBBP,BPPPBPPPBPBBP
Game_94,PBPPP,BBBB,PBPPP,PBPPPBBBBPBPPP
Game_94,PPPBB,PPPP,BBPPB,PPPBBPPPPBBPPB
Game_94,PPBPP,BBBB,PBPBP,PPBPPBBBBPBPBP
Game_95,BBPBP,BBB,PPBPB,BBPBPBBBPPBPB
Game_95,BPBPB,PPP,BBBPB,BPBPBPPPBBBPB
Game_95,PBPPP,BBB,PBBBP,PBPPPBBBPBBBP
Game_95,PBBBP,BBB,PPPBP,PBBBPBBBPPPBP
Game_95,PPPBP,BBBB,PBPPP,PPPBPBBBBPBPPP
Game_95,BBBPB,PPP,BPBBP,BBBPBPPPBPBBP
Game_96,PPPPB,PPP,BPPPB,PPPPBPPPBPPPB
Game_96,BPPPB,PPP,BPBPP,BPPPBPPPBPBPP
Game_96,BPPBB,PPP,BPP,BPPBBPPPBPP
Game_97,PPBPB,PPP,BBPBB,PPBPBPPPBBPBB
Game_97,PPBBP,BBB,PBBBP,PPBBPBBBPBBBP
Game_97,PBBBP,BBB,PBPBP,PBBBPBBBPBPBP
Game_97,PBBPP,BBB,PPPBP,PBBPPBBBPPPBP
Game_97,PPBBB,PPP,BPPPB,PPBBBPPPBPPPB
Game_97,BPPPB,PPP,BBPPP,BPPPBPPPBBPPP
Game_97,PPPBB,PPPP,BB,PPPBBPPPPBB
Game_98,PBPPB,PPP,BPBBB,PBPPBPPPBPBBB
Game_98,BBBPP,BBB,PBPPP,BBBPPBBBPBPPP
Game_98,BBBPB,PPP,BPBBB,BBBPBPPPBPBBB
Game_98,BBBPB,PPP,B,BBBPBPPPB
Game_99,PBPBP,BBBB,PPBPP,PBPBPBBBBPPBPP
Game_99,PBPBP,BBB,PPBBB,PBPBPBBBPPBBB
Game_100,PBPBP,BBB,PPPPP,PBPBPBBBPPPPP
Game_100,BPPBB,PPP,BBBPB,BPPBBPPPBBBPB
Game_100,BBPPP,BBB,PBBPP,BBPPPBBBPBBPP
Game_100,BBPBB,PPP,BBPBP,BBPBBPPPBBPBP
Game_100,BBBBB,PPP,BBPPP,BBBBBPPPBBPPP
Game_100,PPPBB,PPPP,BP,PPPBBPPPPBP
Game_101,BBBPB,PPP,BPBPB,BBBPBPPPBPBPB
Game_101,PBBPB,PPP,B,PBBPBPPPB
Game_102,BBBPB,PPP,BPPBB,BBBPBPPPBPPBB
Game_102,PPBPP,BBB,PPBBP,PPBPPBBBPPBBP
Game_102,BPPBB,PPP,BPPBB,BPPBBPPPBPPBB
Game_102,PPBPP,BBB,PPPPB,PPBPPBBBPPPPB
Game_102,PPBBB,PPPP,BBPPP,PPBBBPPPPBBPPP
Game_102,PPPBB,PPP,B,PPPBBPPPB
Game_103,BBBPB,PPPP,BPBBB,BBBPBPPPPBPBBB
Game_103,PPPBP,BBBB,PBPBP,PPPBPBBBBPBPBP
Game_103,BPBPB,PPP,BPBBP,BPBPBPPPBPBBP
Game_103,BBPBP,BBB,PPBBB,BBPBPBBBPPBBB
Game_103,BBBPP,BBB,PBPBP,BBBPPBBBPBPBP
Game_104,PPBBB,PPPP,BPPBP,PPBBBPPPPBPPBP
Game_104,BPPBP,BBBB,PPBPB,BPPBPBBBBPPBPB
Game_104,BPPBP,BBBB,PBPB,BPPBPBBBBPBPB
Game_105,BBPBB,PPP,BBPPB,BBPBBPPPBBPPB
Game_105,PBPBB,PPP,BBPBB,PBPBBPPPBBPBB
Game_106,PBPPP,BBB,PPPBP,PBPPPBBBPPPBP
Game_106,PPBBB,PPP,BPBPP,PPBBBPPPBPBPP
Game_106,PPBPB,PPPP,BPBBP,PPBPBPPPPBPBBP
Game_106,BBPBP,BBBB,PBPBP,BBPBPBBBBPBPBP
Game_106,BBPBP,BBB,PBPBB,BBPBPBBBPBPBB
Game_107,PPBPB,PPP,BPBBB,PPBPBPPPBPBBB
Game_107,PPPBP,BBB,PPPPB,PPPBPBBBPPPPB
Game_107,BPBBB,PPPP,BBPPP,BPBBBPPPPBBPPP
Game_107,PPBBP,BBB,PBPBB,PPBBPBBBPBPBB
Game_108,BPBPP,BBBB,PPPBP,BPBPPBBBBPPPBP
